--- Training Metrics Summary from: training_metrics_20250507_103631.csv ---
Epoch   | Train Loss   | Val Loss   | Mean IoU   | Time (s)  
------------------------------------------------------------
1       | 1.1073       | 0.9896     | 0.0044     | 7.67      
2       | 1.0058       | 1.0309     | 0.0060     | 6.35      
3       | 0.9196       | 1.0113     | 0.0354     | 6.28      
4       | 0.8454       | 0.9425     | 0.0748     | 6.22      
5       | 0.7784       | 0.8509     | 0.1274     | 6.29      
6       | 0.7092       | 0.7766     | 0.1847     | 6.33      
7       | 0.6438       | 0.7383     | 0.2212     | 6.35      
8       | 0.5809       | 0.6827     | 0.2425     | 6.49      
9       | 0.5436       | 0.6610     | 0.2479     | 6.50      
10      | 0.5058       | 0.6371     | 0.2585     | 6.57      
11      | 0.4762       | 0.5876     | 0.2624     | 6.49      
12      | 0.4572       | 0.5555     | 0.2664     | 6.24      
13      | 0.4431       | 0.5226     | 0.2706     | 6.28      
14      | 0.4241       | 0.5043     | 0.2731     | 6.29      
15      | 0.4114       | 0.4840     | 0.2748     | 6.30      
16      | 0.4048       | 0.4678     | 0.2759     | 6.39      
17      | 0.3975       | 0.4689     | 0.2754     | 6.45      
18      | 0.3849       | 0.4302     | 0.2769     | 6.51      
19      | 0.3776       | 0.4198     | 0.2795     | 6.51      
20      | 0.3681       | 0.4094     | 0.2792     | 6.32      
21      | 0.3644       | 0.4042     | 0.2827     | 6.44      
22      | 0.3576       | 0.3979     | 0.2807     | 6.54      
23      | 0.3528       | 0.3886     | 0.2822     | 6.43      
24      | 0.3488       | 0.3842     | 0.2835     | 6.40      
25      | 0.3431       | 0.3800     | 0.2801     | 6.41      
26      | 0.3383       | 0.3707     | 0.2887     | 6.31      
27      | 0.3347       | 0.3624     | 0.2904     | 6.34      
28      | 0.3328       | 0.3595     | 0.2879     | 6.17      
29      | 0.3274       | 0.3509     | 0.2904     | 6.26      
30      | 0.3255       | 0.3476     | 0.2904     | 6.45      
31      | 0.3210       | 0.3437     | 0.2917     | 6.30      
32      | 0.3178       | 0.3415     | 0.2927     | 6.38      
33      | 0.3160       | 0.3367     | 0.2924     | 6.25      
34      | 0.3123       | 0.3346     | 0.2929     | 6.24      
35      | 0.3123       | 0.3335     | 0.2918     | 6.31      
36      | 0.3081       | 0.3308     | 0.2947     | 6.24      
37      | 0.3064       | 0.3278     | 0.2934     | 6.17      
38      | 0.3032       | 0.3246     | 0.2978     | 6.20      
39      | 0.3032       | 0.3231     | 0.2990     | 6.17      
40      | 0.3004       | 0.3192     | 0.2986     | 6.37      
41      | 0.2987       | 0.3209     | 0.2938     | 6.23      
42      | 0.2973       | 0.3219     | 0.2970     | 6.22      
43      | 0.2937       | 0.3154     | 0.2975     | 6.25      
44      | 0.2925       | 0.3141     | 0.2976     | 6.19      
45      | 0.2911       | 0.3140     | 0.2977     | 6.19      
46      | 0.2883       | 0.3135     | 0.2963     | 6.23      
47      | 0.2880       | 0.3111     | 0.2956     | 6.26      
48      | 0.2851       | 0.3104     | 0.2984     | 6.27      
49      | 0.2866       | 0.3092     | 0.3017     | 6.32      
50      | 0.2838       | 0.3090     | 0.2980     | 6.31      
51      | 0.2835       | 0.3080     | 0.2977     | 6.27      
52      | 0.2831       | 0.3107     | 0.2948     | 6.12      
53      | 0.2798       | 0.3062     | 0.3004     | 6.15      
54      | 0.2803       | 0.3072     | 0.2994     | 6.24      
55      | 0.2770       | 0.3063     | 0.2993     | 6.16      
56      | 0.2765       | 0.3068     | 0.2993     | 6.27      
57      | 0.2752       | 0.3035     | 0.3026     | 6.05      
58      | 0.2763       | 0.3026     | 0.2986     | 6.10      
59      | 0.2754       | 0.3021     | 0.3000     | 6.16      
60      | 0.2750       | 0.3017     | 0.3019     | 6.39      
61      | 0.2723       | 0.3027     | 0.3000     | 6.25      
62      | 0.2722       | 0.3008     | 0.3006     | 6.38      
63      | 0.2716       | 0.3003     | 0.3006     | 6.05      
64      | 0.2709       | 0.3049     | 0.2982     | 6.22      
65      | 0.2693       | 0.3020     | 0.2999     | 6.09      
66      | 0.2704       | 0.3011     | 0.3009     | 6.10      
67      | 0.2681       | 0.2998     | 0.3009     | 6.05      
68      | 0.2684       | 0.3031     | 0.2991     | 6.08      
69      | 0.2668       | 0.2996     | 0.3032     | 6.10      
70      | 0.2692       | 0.3016     | 0.2997     | 6.06      
71      | 0.2663       | 0.3014     | 0.2987     | 6.23      
72      | 0.2650       | 0.2960     | 0.3038     | 6.44      
73      | 0.2645       | 0.2942     | 0.3049     | 6.25      
74      | 0.2667       | 0.2990     | 0.3012     | 6.17      
75      | 0.2635       | 0.2991     | 0.3011     | 6.11      
76      | 0.2625       | 0.2959     | 0.3035     | 6.35      
77      | 0.2634       | 0.2959     | 0.3030     | 6.10      
78      | 0.2611       | 0.2971     | 0.3015     | 6.24      
79      | 0.2626       | 0.2950     | 0.3043     | 6.23      
80      | 0.2635       | 0.2951     | 0.3047     | 6.31      
81      | 0.2612       | 0.2966     | 0.3040     | 6.38      
82      | 0.2609       | 0.2967     | 0.3034     | 6.31      
83      | 0.2613       | 0.2989     | 0.3015     | 6.24      
84      | 0.2639       | 0.2994     | 0.3006     | 6.33      
85      | 0.2620       | 0.2960     | 0.3035     | 6.34      
86      | 0.2616       | 0.2978     | 0.3026     | 6.31      
87      | 0.2600       | 0.2988     | 0.3019     | 6.20      
88      | 0.2589       | 0.2985     | 0.3017     | 6.05      
89      | 0.2597       | 0.2992     | 0.3006     | 6.23      
90      | 0.2617       | 0.2993     | 0.3016     | 6.29      
91      | 0.2590       | 0.2982     | 0.3030     | 6.30      
92      | 0.2577       | 0.2978     | 0.3038     | 6.31      
93      | 0.2581       | 0.2993     | 0.3023     | 6.23      
94      | 0.2574       | 0.2996     | 0.3021     | 6.07      
95      | 0.2577       | 0.2995     | 0.3023     | 6.38      
96      | 0.2579       | 0.2989     | 0.3022     | 6.31      
97      | 0.2567       | 0.3005     | 0.3006     | 6.30      
98      | 0.2571       | 0.2993     | 0.3013     | 6.16      
99      | 0.2574       | 0.2995     | 0.3013     | 6.19      
100     | 0.2574       | 0.2998     | 0.3011     | 6.26      
101     | 0.2596       | 0.2990     | 0.3020     | 6.22      
102     | 0.2584       | 0.2996     | 0.3017     | 6.25      
103     | 0.2573       | 0.2997     | 0.3018     | 6.19      
104     | 0.2573       | 0.2988     | 0.3023     | 6.28      
105     | 0.2574       | 0.2981     | 0.3025     | 6.23      
106     | 0.2570       | 0.2987     | 0.3024     | 6.31      
107     | 0.2570       | 0.2989     | 0.3022     | 6.14      
108     | 0.2598       | 0.2983     | 0.3028     | 6.09      
109     | 0.2549       | 0.2986     | 0.3023     | 6.12      
110     | 0.2562       | 0.2986     | 0.3026     | 6.02      
